Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status
LP001002,Male,Yes,3+,Not Graduate,nan,10021,14332,687.0,0.0,Semiurban,N
LP001003,Male,nan,nan,Not Graduate,nan,17215,5288,407.0,1.0,Rural,Y
LP001004,Male,nan,0,Not Graduate,nan,5699,3320,434.0,1.0,Rural,Y
LP001005,Male,No,nan,Graduate,Yes,19132,14850,604.0,0.0,Semiurban,N
LP001006,Female,Yes,nan,Not Graduate,nan,10979,3390,163.0,1.0,Semiurban,Y
LP001007,nan,nan,nan,Not Graduate,Yes,5004,12274,630.0,1.0,Urban,Y
LP001008,nan,No,nan,Not Graduate,Yes,21142,11465,426.0,1.0,Urban,N
LP001009,nan,nan,0,Not Graduate,nan,18247,10294,200.0,0.0,Urban,N
LP001010,nan,Yes,0,Not Graduate,No,24237,10927,110.0,1.0,Rural,Y
LP001011,Female,nan,1,Not Graduate,nan,18413,1732,364.0,1.0,Rural,N
LP001012,Male,nan,2,Graduate,Yes,15903,9868,136.0,1.0,Urban,Y
LP001013,Male,No,3+,Graduate,Yes,12797,12975,114.0,1.0,Semiurban,N
LP001014,Male,nan,nan,Graduate,nan,3209,6476,370.0,0.0,Semiurban,Y
LP001015,nan,Yes,1,Graduate,No,5944,11989,383.0,1.0,Semiurban,N
LP001016,nan,No,3+,Graduate,No,8671,2983,598.0,1.0,Urban,Y
LP001017,nan,No,3+,Graduate,nan,24651,470,688.0,1.0,Semiurban,Y
LP001018,Female,nan,3+,Graduate,nan,7555,4692,403.0,1.0,Rural,N
LP001019,nan,Yes,2,Not Graduate,Yes,16162,8291,,1.0,Rural,N
LP001020,Male,No,0,Graduate,Yes,9366,14948,163.0,1.0,Rural,Y
LP001021,nan,Yes,nan,Not Graduate,Yes,22840,10687,566.0,,Urban,N
LP001022,nan,Yes,0,Not Graduate,nan,19743,149,432.0,0.0,Semiurban,N
LP001023,Male,nan,2,Not Graduate,No,11445,4321,179.0,,Rural,N
LP001024,nan,No,0,Graduate,No,16413,3820,235.0,,Urban,N
LP001025,Female,No,0,Graduate,No,4122,8503,263.0,,Semiurban,N
LP001026,nan,Yes,3+,Graduate,Yes,21841,8908,566.0,1.0,Urban,Y
LP001027,Male,nan,1,Not Graduate,No,16294,14434,380.0,1.0,Rural,N
LP001028,Male,No,0,Graduate,nan,21331,7909,385.0,1.0,Urban,Y
LP001029,nan,nan,2,Not Graduate,nan,5419,4013,403.0,1.0,Semiurban,Y
LP001030,nan,Yes,nan,Not Graduate,No,5216,2283,426.0,1.0,Semiurban,N
LP001031,Female,No,3+,Not Graduate,Yes,14873,9706,672.0,1.0,Urban,Y
LP001032,nan,nan,3+,Not Graduate,No,14406,881,,1.0,Semiurban,Y
LP001033,Male,Yes,2,Graduate,Yes,22653,8310,537.0,1.0,Semiurban,N
LP001034,Male,Yes,1,Graduate,nan,11728,13266,,0.0,Urban,Y
LP001035,Female,nan,1,Graduate,Yes,23437,6073,200.0,1.0,Rural,N
LP001036,Female,Yes,nan,Graduate,nan,6091,843,159.0,1.0,Urban,N
LP001037,nan,nan,0,Graduate,No,14566,3535,646.0,1.0,Urban,Y
LP001038,Female,No,3+,Graduate,nan,11815,5907,422.0,1.0,Semiurban,N
LP001039,Female,No,nan,Graduate,Yes,12554,955,566.0,1.0,Urban,N
LP001040,Female,nan,3+,Not Graduate,Yes,6990,3174,77.0,1.0,Semiurban,Y
LP001041,nan,No,nan,Not Graduate,nan,9030,13819,179.0,0.0,Semiurban,Y
LP001042,nan,No,nan,Graduate,nan,7126,10985,179.0,1.0,Rural,Y
LP001043,Female,Yes,1,Graduate,nan,21248,6871,277.0,0.0,Urban,N
LP001044,Male,Yes,0,Graduate,nan,10577,8588,380.0,,Semiurban,Y
LP001045,nan,No,2,Not Graduate,No,21162,14826,359.0,0.0,Rural,N
LP001046,Female,Yes,nan,Graduate,nan,20980,4837,183.0,1.0,Semiurban,Y
LP001047,Female,Yes,1,Graduate,No,5381,10036,385.0,1.0,Rural,N
LP001048,nan,Yes,3+,Graduate,No,10907,6457,163.0,1.0,Urban,Y
LP001049,Female,Yes,0,Graduate,Yes,17858,1323,674.0,1.0,Urban,N
LP001050,nan,No,2,Not Graduate,No,2195,6572,603.0,1.0,Urban,N
LP001051,Male,No,3+,Not Graduate,Yes,10217,13182,499.0,0.0,Rural,Y
LP001052,Female,nan,2,Graduate,Yes,5899,10551,98.0,1.0,Urban,Y
LP001053,Female,nan,3+,Graduate,No,14255,11822,596.0,1.0,Semiurban,N
LP001054,nan,Yes,1,Not Graduate,No,2628,2645,502.0,1.0,Urban,Y
LP001055,nan,No,3+,Not Graduate,nan,19258,2069,211.0,,Urban,Y
LP001056,Female,Yes,1,Graduate,nan,14006,9615,197.0,1.0,Semiurban,N
LP001057,Male,No,nan,Graduate,No,20620,13992,466.0,,Rural,N
LP001058,nan,Yes,nan,Not Graduate,nan,14199,13185,464.0,0.0,Rural,N
LP001059,Male,nan,0,Not Graduate,nan,8485,1006,537.0,0.0,Urban,N
LP001060,Male,Yes,3+,Graduate,nan,12315,3196,306.0,1.0,Urban,N
LP001061,Female,No,2,Graduate,nan,2520,5381,393.0,1.0,Rural,Y
LP001062,nan,Yes,2,Graduate,No,3911,10374,197.0,1.0,Semiurban,Y
LP001063,Female,No,0,Graduate,No,3882,10322,407.0,1.0,Rural,Y
LP001064,Male,nan,0,Graduate,No,2921,7097,386.0,1.0,Urban,Y
LP001065,Male,nan,1,Not Graduate,Yes,14065,13172,233.0,1.0,Semiurban,N
LP001066,nan,No,1,Graduate,No,16449,2296,330.0,1.0,Semiurban,Y
LP001067,Male,No,2,Not Graduate,No,7621,10808,598.0,1.0,Semiurban,Y
LP001068,Male,No,1,Graduate,nan,20447,5228,163.0,1.0,Semiurban,Y
LP001069,Female,No,0,Not Graduate,Yes,23432,5907,,1.0,Semiurban,N
LP001070,Male,nan,2,Graduate,Yes,19469,14089,432.0,0.0,Urban,N
LP001071,Female,No,nan,Not Graduate,No,17316,1037,217.0,1.0,Rural,N
LP001072,Female,No,1,Graduate,No,20817,3136,502.0,1.0,Semiurban,N
LP001073,Male,No,1,Graduate,No,17391,11740,383.0,0.0,Semiurban,N
LP001074,Male,Yes,nan,Not Graduate,nan,11149,9775,145.0,1.0,Rural,Y
LP001075,nan,No,0,Not Graduate,Yes,12077,6474,277.0,0.0,Semiurban,Y
LP001076,Male,Yes,0,Not Graduate,No,5143,6018,330.0,1.0,Rural,Y
LP001077,Male,Yes,0,Graduate,No,22467,14744,179.0,0.0,Rural,Y
LP001078,nan,Yes,3+,Graduate,nan,20708,10749,217.0,1.0,Urban,N
LP001079,Male,No,0,Not Graduate,No,17296,4194,434.0,1.0,Semiurban,N
LP001080,Male,No,3+,Not Graduate,nan,8123,14242,,0.0,Urban,Y
LP001081,Male,nan,1,Graduate,Yes,3240,5009,388.0,1.0,Rural,N
LP001082,nan,nan,0,Not Graduate,nan,18431,1706,301.0,0.0,Semiurban,Y
LP001083,Female,No,0,Graduate,nan,18692,8522,264.0,1.0,Urban,N
LP001084,Female,No,0,Graduate,nan,7423,12214,403.0,0.0,Urban,Y
LP001085,Male,Yes,1,Graduate,No,20959,1908,502.0,1.0,Semiurban,N
LP001086,nan,Yes,1,Graduate,No,10340,8113,674.0,0.0,Rural,Y
LP001087,Female,Yes,3+,Not Graduate,nan,6362,6738,375.0,0.0,Semiurban,Y
LP001088,nan,nan,nan,Not Graduate,nan,14608,9700,163.0,1.0,Rural,Y
LP001089,Female,Yes,2,Not Graduate,nan,23416,14429,263.0,,Urban,N
LP001090,Male,nan,1,Not Graduate,nan,3007,7757,442.0,,Semiurban,Y
LP001091,Male,nan,0,Graduate,nan,13480,9411,79.0,1.0,Semiurban,Y
LP001092,Male,Yes,2,Not Graduate,No,24557,688,414.0,,Rural,N
LP001093,Male,Yes,0,Graduate,nan,7639,7326,632.0,0.0,Urban,Y
LP001094,nan,No,2,Not Graduate,No,17392,7900,,1.0,Rural,N
LP001095,Male,Yes,1,Graduate,nan,24459,7948,393.0,1.0,Semiurban,Y
LP001096,Female,No,2,Not Graduate,nan,11119,3547,110.0,1.0,Semiurban,N
LP001097,Male,No,1,Not Graduate,No,11649,4167,393.0,0.0,Semiurban,Y
LP001098,Male,No,2,Not Graduate,nan,14214,3903,434.0,1.0,Semiurban,Y
